Date,Price
2025-03-03,41.4313
2025-03-04,41.5911
2025-03-05,41.5782
2025-03-06,41.368
2025-03-07,41.2742
2025-03-10,41.2127
2025-03-11,41.287
2025-03-12,41.4124
2025-03-13,41.5076
2025-03-14,41.527
2025-03-17,41.5098
2025-03-18,41.4395
2025-03-19,41.5658
2025-03-20,41.573
2025-03-21,41.541
2025-03-24,41.5277
2025-03-25,41.6446
2025-03-26,41.6949
2025-03-27,41.5644
2025-03-28,41.4863
2025-03-31,41.4787
2025-04-01,41.4228
2025-04-02,41.373
2025-04-03,41.3162
2025-04-04,41.3426
2025-04-07,41.1941
2025-04-08,41.0807
2025-04-09,41.174
2025-04-10,41.2751
2025-04-11,41.4031
2025-04-14,41.3879
2025-04-15,41.3153
2025-04-16,41.1753
2025-04-17,41.2152
2025-04-18,41.3825
2025-04-21,41.3955
2025-04-22,41.3785
2025-04-23,41.5185
2025-04-24,41.6707
2025-04-25,41.689
2025-04-28,41.7513
2025-04-29,41.7441
2025-04-30,41.5647
2025-05-01,41.4706
2025-05-02,41.5945
2025-05-05,41.7091
2025-05-06,41.6036
2025-05-07,41.4544
2025-05-08,41.4388
2025-05-09,41.5113
2025-05-12,41.547
2025-05-13,41.5387
2025-05-14,41.5004
2025-05-15,41.5376
2025-05-16,41.4709
2025-05-19,41.4983
2025-05-20,41.576
2025-05-21,41.4851
2025-05-22,41.436
2025-05-23,41.4999
2025-05-26,41.5094
2025-05-27,41.5707
2025-05-28,41.6758
2025-05-29,41.5903
2025-05-30,41.5285
2025-06-02,41.5261
2025-06-03,41.6184
2025-06-04,41.6385
2025-06-05,41.4829
2025-06-06,41.4717
2025-06-09,41.4018
2025-06-10,41.4919
2025-06-11,41.5566
2025-06-12,41.5117
2025-06-13,41.488
2025-06-16,41.4466
2025-06-17,41.5306
2025-06-18,41.5255
2025-06-19,41.6293
2025-06-20,41.6854
2025-06-23,41.8335
2025-06-24,41.8702
2025-06-25,41.7924
2025-06-26,41.662
2025-06-27,41.5852
2025-06-30,41.6409
2025-07-01,41.7788
2025-07-02,41.8191
2025-07-03,41.8116
2025-07-04,41.7239
2025-07-07,41.7341
2025-07-08,41.7975
2025-07-09,41.8462
2025-07-10,41.7745
2025-07-11,41.8232
2025-07-14,41.7842
2025-07-15,41.8355
2025-07-16,41.8211
2025-07-17,41.8129
2025-07-18,41.867
2025-07-21,41.7514
